action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2214610,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '19.11', 'le': '0.37', 'lle': '5.54', 'sei': '6.06'}",CHEMBL457092,BESTATIN METHYL ESTER,CHEMBL457092,6.16,0,http://www.openphacts.org/units/Nanomolar,742184,=,1,1,=,,IC50,nM,,690.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,0.69
,,2214616,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCN(CCCC)[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '13.00', 'le': '0.25', 'lle': '3.18', 'sei': '4.66'}",CHEMBL458777,,CHEMBL458777,5.04,0,http://www.openphacts.org/units/Nanomolar,742228,=,1,1,=,,IC50,nM,,9200.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,9.2
,,2214617,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCN[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '16.08', 'le': '0.32', 'lle': '4.99', 'sei': '4.56'}",CHEMBL458594,,CHEMBL458594,5.33,0,http://www.openphacts.org/units/Nanomolar,742227,=,1,1,=,,IC50,nM,,4690.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,4.69
,,2214619,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '16.67', 'le': '0.32', 'lle': '4.10', 'sei': '5.80'}",CHEMBL458592,,CHEMBL458592,6.08,0,http://www.openphacts.org/units/Nanomolar,742225,=,1,1,=,,IC50,nM,,840.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,0.84
,,2214620,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)OC)C(C)(C)C,,,CHEMBL1149858,Bioorg Med Chem,2008,,CHEMBL458586,,CHEMBL458586,,0,http://www.openphacts.org/units/Nanomolar,742224,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,20.0
,,2214621,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)OC)C(C)C,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '18.66', 'le': '0.37', 'lle': '4.51', 'sei': '5.64'}",CHEMBL457293,,CHEMBL457293,5.90,0,http://www.openphacts.org/units/Nanomolar,742204,=,1,1,=,,IC50,nM,,1250.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,1.25
,,2214622,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '21.77', 'le': '0.43', 'lle': '5.52', 'sei': '5.99'}",CHEMBL457292,,CHEMBL457292,6.28,0,http://www.openphacts.org/units/Nanomolar,742203,=,1,1,=,,IC50,nM,,530.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,0.53
,,2214623,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@H](CC(=O)NO)C(=O)NCC(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '21.19', 'le': '0.42', 'lle': '5.44', 'sei': '5.55'}",CHEMBL457060,,CHEMBL457060,5.81,0,http://www.openphacts.org/units/Nanomolar,742202,=,1,1,=,,IC50,nM,,1540.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,1.54
,,2214624,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@H](CC(C)C)NC(=O)CCC(=O)NO,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '18.06', 'le': '0.36', 'lle': '4.72', 'sei': '4.49'}",CHEMBL457291,,CHEMBL457291,4.70,0,http://www.openphacts.org/units/Nanomolar,742201,=,1,1,=,,IC50,nM,,19900.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,19.9
,,2214625,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '12.40', 'le': '0.24', 'lle': '2.90', 'sei': '4.15'}",CHEMBL458564,,CHEMBL458564,4.34,0,http://www.openphacts.org/units/Nanomolar,742200,=,1,1,=,,IC50,nM,,45200.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,45.2
