molecule_chembl_id,canonical_smiles,standard_value
CHEMBL457092,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1,690.0
CHEMBL458777,CCCCN(CCCC)[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,9200.0
CHEMBL458594,CCCCN[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,4690.0
CHEMBL458592,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)OC,840.0
CHEMBL458586,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)OC)C(C)(C)C,20000.0
CHEMBL457293,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)OC)C(C)C,1250.0
CHEMBL457292,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C)C(=O)OC,530.0
CHEMBL457060,CCCCC[C@H](CC(=O)NO)C(=O)NCC(=O)OC,1540.0
CHEMBL457291,COC(=O)[C@H](CC(C)C)NC(=O)CCC(=O)NO,19900.0
CHEMBL458564,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1,45200.0
CHEMBL458563,CC[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,24100.0
CHEMBL457466,CCCCC[C@@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,12100.0
CHEMBL457093,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,1060.0
CHEMBL1241426,CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](NC(=O)Cc2ccccc2)C[C@H]2CC[C@@H](C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,2.6
CHEMBL1241425,CN[C@@H](C)C(=O)N[C@H]1CC[C@H](NC(=O)Cc2ccccc2)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,84.1
CHEMBL1241424,CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](NC(=O)Cc2ccccc2)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,10.9
CHEMBL1242922,CN[C@@H](C)C(=O)N[C@H]1CC[C@H](O)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,45.5
CHEMBL1243385,CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](O)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,54.5
CHEMBL504559,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)Cc2ccccc2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,9.0
CHEMBL481422,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,46.2
CHEMBL1774157,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCc4ccc(CCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,2.6
CHEMBL1774031,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,2.8
CHEMBL1774160,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,3.2
CHEMBL1774154,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,4.6
CHEMBL1774163,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCOCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,4.9
CHEMBL1774158,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCc4ccc(CCCCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,5.4
CHEMBL1774156,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCc4ccc(CCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,5.7
CHEMBL1774161,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4cn(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)nn4)nn3)N2C1=O,6.2
CHEMBL1774162,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCNC(=O)NCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,6.8
CHEMBL1774159,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCc4ccc(CCCCCCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,7.3
CHEMBL1774164,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCOCCCCOCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,7.5
CHEMBL1773083,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(Cc4ccc(Cn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,8.8
CHEMBL1774165,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCOCCOCCOCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,13.0
CHEMBL1774166,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](Cc8c[nH]c9ccccc89)NC(C)=O)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,16.0
CHEMBL1774155,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](Cc8c[nH]c9ccccc89)NC(C)=O)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,10000.0
CHEMBL1950864,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@@H]2CC[C@H]1N(CCc1ccccc1)C2)C1CCCCC1,4.0
CHEMBL1950863,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2c[nH]c3ccccc23)C1)C(C)(C)C,115.0
CHEMBL1950862,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccncc2)C1)C(C)(C)C,593.0
CHEMBL1950861,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccn2)C1)C(C)(C)C,301.0
CHEMBL1950860,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C(F)(F)F)cc2)C1)C(C)(C)C,49.0
CHEMBL1950859,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc([N+](=O)[O-])cc2)C1)C(C)(C)C,32.0
CHEMBL1950858,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(O)cc2)C1)C(C)(C)C,42.0
CHEMBL1950857,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C)cc2)C1)C(C)(C)C,30.0
CHEMBL1950856,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(Br)cc2)C1)C(C)(C)C,24.0
CHEMBL1950855,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(Cl)cc2)C1)C(C)(C)C,24.0
CHEMBL1950854,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(OC)cc2)C1)C(C)(C)C,90.0
CHEMBL1950853,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2cccc(OC)c2)C1)C(C)(C)C,52.0
CHEMBL1950852,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2OC)C1)C(C)(C)C,50.0
